orden;jinete;caballo
1;PAULA ASLA;BELUGA OOO
2;LORENA ZAS;TORDA
3;SALETA SPERONT;ULISES
4;LAURA INSUA VAZQUEZ;WALKER
5;TATIANA CASAL;ELIOT DE LA CROUPE
6;HECTOR VIDAL  CUNS;KAERO GAL
7;ESTEFANIA RODRIGUEZ;REMATE CS
8;CELTIA GOMEZ FERNANDEZ;RISCO
9;JOAQUIN POVES;QUIMI DEL MASET
10;NATALIA PEREZ;MONTERREI
11;JUAN CASADEVALL;DALI DELLE
12;CARMEN FDEZ DAVILA;MALPICA
13;SARA VAZQUEZ GLEZ;LUCKY
14;HUGO GOMEZ RAMA;AZAFRAN
15;LUISA ROMANOS COUTO;LENA
16;VERÓNICA  SANTIAGO;ANGELICA DE PINZAS
17;YAIZA LIS;DOREE
18;MARIA BAAMONDE;FLASH GORDON
19;AUXI VIÑAS;GOZQUE
20;ANDREA VAZQUEZ;ISIS YAR
21;CARLA CASTRILLO;BOOM DAMA
22;LAURA DUARTE;PEPITA
23;AINOA GARCIA ;FARO
24;ANDREA RODRIGUEZ;TORDA
25;ELENA SUAREZ SOBRADO;ULISES
26;LUCIA SERANTES;JULIETTA
27;ANTIA RABINA SUAREZ;RUBIA
28;JESUS BAMONDE;AGR TROUBLEMAKER
29;ANA DOMINGO;COLMAR
30;SOFIA RODRIGUEZ ;USTINON
31;ALMUDENA FDEZ MONTENEGRO;RAYO
32;IRIA LÓPEZ BARCA;INDY
33;VERÓNICA MARTÍNEZ ;KEEP DE JOUET
34;ANTIA MONTERO ;BRUMOSO
35;LAURA DA TORRE;PRADO
36;JOSE MARIA OTERO;CASTIZA
37;NICOLE ALVES CALLE;XARA DO LEDOURO
38;NEREA DIAZ;BINIAC
39;OSCAR MONTES;BOOM DAMA
40;VICTOR PANTIN;RUBIO
41;ALBA MILLAN;INDEISTER
42;ANA LOPEZ VARELA;LIBERTE
43;CLARA FERNANDEZ ;RABILO
44;PALOMA PEREZ COLOMER;PEPITA
45;JACOBO JUANATEY;FARO
46;ALBA GCIA GOSENDE;MORGANA
47;JESUS BAMONDE;AGR CRISTALINO
